"Starting coordinates: [-66.16498947143556, 45.30640634669566]"
"Ending coordinates: [-66.13752365112306, 45.292641220997034]"

PNumber,Lat,Lon,Depth
229,-66.1537153776,45.3003987431,-4.73117113113
230,-66.1536840605,45.3003595824,-4.73212814331
231,-66.1536527436,45.3003204217,-4.69611406326
232,-66.1536214266,45.300281261,-4.72200012207
233,-66.1535901098,45.3002421003,-4.72200012207
234,-66.1535587929,45.3002029396,-4.73199987411
235,-66.1535274761,45.3001637789,-4.75199985504
236,-66.1534961594,45.3001246181,-4.742000103
237,-66.1534648427,45.3000854574,-4.73199987411
238,-66.153433526,45.3000462966,-4.742000103
239,-66.1534022094,45.3000071359,-4.79199981689
240,-66.1533708928,45.2999679751,-4.84200000763
241,-66.1533395762,45.2999288143,-4.76279354095
242,-66.1533082598,45.2998896535,-4.79300022125
243,-66.1532769433,45.2998504928,-4.81108140945
244,-66.1532456269,45.299811332,-4.81300020218
245,-66.1532143105,45.2997721711,-4.76300001144
246,-66.1531829942,45.2997330103,-4.77299976349
247,-66.1531516779,45.2996938495,-4.78075313568
248,-66.1531203617,45.2996546887,-4.81300067902
249,-66.1530890455,45.2996155278,-4.86299991608
250,-66.1530577294,45.299576367,-4.84153413773
251,-66.1530264133,45.2995372061,-4.84299993515
252,-66.1529950972,45.2994980452,-4.91300058365
253,-66.1529637812,45.2994588843,-4.9676194191
254,-66.1529324652,45.2994197235,-5.06362867355
255,-66.1529011493,45.2993805626,-5.15449285507
256,-66.1528698334,45.2993414017,-5.34204912186
257,-66.1528385176,45.2993022407,-5.42307424545
258,-66.1528072018,45.2992630798,-5.58089494705
259,-66.152775886,45.2992239189,-5.65778923035
260,-66.1527445703,45.2991847579,-5.8029999733
261,-66.1527132546,45.299145597,-5.90299987793
262,-66.152681939,45.299106436,-6.09299993515
263,-66.1526506234,45.2990672751,-6.09299993515
264,-66.1526193079,45.2990281141,-6.30598402023
265,-66.1525879924,45.2989889531,-6.26700019836
266,-66.152556677,45.2989497921,-6.35847473145
267,-66.1525253615,45.2989106311,-6.47700023651
268,-66.1524940462,45.2988714701,-6.48699998856
269,-66.1524627309,45.2988323091,-6.56251955032
270,-66.1524314156,45.2987931481,-6.59778594971
271,-66.1524001004,45.298753987,-6.62699985504
272,-66.1523687852,45.298714826,-6.66516399384
273,-66.15233747,45.2986756649,-6.63341808319
274,-66.1523061549,45.2986365039,-6.65197753906
275,-66.1522748399,45.2985973428,-6.61869716644
276,-66.1522435249,45.2985581817,-6.63700008392
277,-66.1522122099,45.2985190206,-6.64699983597
278,-66.152180895,45.2984798595,-6.64945745468
279,-66.1521495801,45.2984406984,-6.66658115387
280,-66.1521182652,45.2984015373,-6.70699977875
281,-66.1520869504,45.2983623762,-6.65700006485
282,-66.1520556357,45.2983232151,-6.6970000267
283,-66.152024321,45.2982840539,-6.65700006485
284,-66.1519930063,45.2982448928,-6.68248605728
285,-66.1519616917,45.2982057316,-6.61872434616
286,-66.1519303771,45.2981665705,-6.621114254
287,-66.1518990626,45.2981274093,-6.62603139877
288,-66.1518677481,45.2980882481,-6.54547071457
289,-66.1518364336,45.2980490869,-6.57899999619
290,-66.1518051192,45.2980099257,-6.60900020599
291,-66.1517738049,45.2979707645,-6.61409473419
292,-66.1517424905,45.2979316033,-6.5590596199
293,-66.1517111763,45.2978924421,-6.56900024414
294,-66.151679862,45.2978532809,-6.49609947205
295,-66.1516485478,45.2978141196,-6.46899938583
296,-66.1516172337,45.2977749584,-6.4889998436
297,-66.1515859196,45.2977357971,-6.46348047256
298,-66.1515546055,45.2976966358,-6.45900011063
299,-66.1515232915,45.2976574746,-6.51900005341
300,-66.1514919776,45.2976183133,-6.50839757919
301,-66.1514606636,45.297579152,-6.52186584473
302,-66.1514293497,45.2975399907,-6.54899978638
303,-66.1513980359,45.2975008294,-6.52328538895
304,-66.1513667221,45.2974616681,-6.49902105331
305,-66.1513354084,45.2974225067,-6.45900011063
306,-66.1513040946,45.2973833454,-6.35038566589
307,-66.151272781,45.2973441841,-6.43226003647
308,-66.1512414674,45.2973050227,-6.45900011063
309,-66.1512101538,45.2972658613,-6.4889998436
310,-66.1511788402,45.2972267,-6.46733570099
311,-66.1511475268,45.2971875386,-6.42000007629
312,-66.1511162133,45.2971483772,-6.43400001526
313,-66.1510848999,45.2971092158,-6.51314306259
314,-66.1510271879,45.2970902065,-6.47300004959
315,-66.1509694759,45.2970711972,-6.46088790894
316,-66.150911764,45.2970521878,-6.41435527802
317,-66.1508540521,45.2970331784,-6.20105171204
318,-66.1507963402,45.297014169,-6.38037204742
319,-66.1507386284,45.2969951595,-6.52286195755
320,-66.1506809167,45.2969761501,-6.65999984741
321,-66.1506232049,45.2969571406,-6.63055419922
322,-66.1505654932,45.296938131,-6.57999992371
323,-66.1505077816,45.2969191214,-6.63484430313
324,-66.15045007,45.2969001118,-6.37297821045
325,-66.1503923584,45.2968811022,-6.54988098145
326,-66.1503346468,45.2968620926,-6.55000019073
327,-66.1502769353,45.2968430829,-6.53000020981
328,-66.1502192239,45.2968240732,-6.60677909851
329,-66.1501615124,45.2968050634,-6.53000020981
330,-66.1501038011,45.2967860536,-6.59000015259
331,-66.1500460897,45.2967670438,-6.5298075676
332,-66.1499883784,45.296748034,-6.52736997604
333,-66.1499306671,45.2967290241,-6.55999994278
334,-66.1498729559,45.2967100143,-6.47700023651
335,-66.1498152447,45.2966910043,-6.25304555893
336,-66.1497575336,45.2966719944,-6.43699979782
337,-66.1496998225,45.2966529844,-6.42700004578
338,-66.1496421114,45.2966339744,-6.46700048447
339,-66.1495844004,45.2966149644,-6.44258403778
340,-66.1495266894,45.2965959543,-6.4438290596
341,-66.1494689784,45.2965769442,-6.37699985504
342,-66.1494112675,45.2965579341,-6.39699983597
343,-66.1493535566,45.2965389239,-6.367000103
344,-66.1492958458,45.2965199137,-6.3484287262
345,-66.149238135,45.2965009035,-6.31699991226
346,-66.1491804242,45.2964818933,-6.29699993134
347,-66.1491227135,45.296462883,-6.24086093903
348,-66.1490650028,45.2964438727,-6.22212076187
349,-66.1490072922,45.2964248623,-6.19267177582
350,-66.1489495816,45.296405852,-6.1939997673
351,-66.148891871,45.2963868416,-6.16280460358
352,-66.1488341605,45.2963678312,-6.17399978638
353,-66.14877645,45.2963488207,-6.11936998367
354,-66.1487187396,45.2963298102,-6.16990566254
355,-66.1486610291,45.2963107997,-6.18200969696
356,-66.1486033188,45.2962917892,-6.126745224
357,-66.1485456084,45.2962727786,-6.100897789
358,-66.1484878982,45.296253768,-6.04400014877
359,-66.1484301879,45.2962347574,-6.06211996078
360,-66.1483724777,45.2962157467,-5.99399995804
361,-66.1483147675,45.2961967361,-5.92880392075
362,-66.1482570574,45.2961777253,-5.91400003433
363,-66.1481993473,45.2961587146,-5.74666643143
364,-66.1481416372,45.2961397038,-5.76300001144
365,-66.1480839272,45.296120693,-5.6271777153
366,-66.1480262172,45.2961016822,-5.64300012589
367,-66.1479685073,45.2960826713,-5.5529999733
368,-66.1479107974,45.2960636604,-5.51300001144
369,-66.1478530875,45.2960446495,-5.47300004959
370,-66.1477953777,45.2960256386,-5.45481348038
371,-66.1477376679,45.2960066276,-5.44300031662
372,-66.1476799582,45.2959876166,-5.43715906143
373,-66.1476222485,45.2959686055,-5.42299985886
374,-66.1475645388,45.2959495945,-5.39300012589
375,-66.1475068292,45.2959305834,-5.40299987793
376,-66.1474491196,45.2959115722,-5.35300016403
377,-66.14739141,45.2958925611,-5.37300014496
378,-66.1473337005,45.2958735499,-5.3029999733
379,-66.1472759911,45.2958545387,-5.32071685791
380,-66.1472182816,45.2958355274,-5.35699987411
381,-66.1471605722,45.2958165162,-5.33699989319
382,-66.1471028629,45.2957975049,-5.31699991226
383,-66.1470451536,45.2957784935,-5.30601406097
384,-66.1469874443,45.2957594822,-5.22478818893
385,-66.146929735,45.2957404708,-5.13700008392
386,-66.1468720258,45.2957214593,-5.12881278992
387,-66.1468143167,45.2957024479,-5.08976125717
388,-66.1467566076,45.2956834364,-5.08423137665
389,-66.1466988985,45.2956644249,-5.03203725815
390,-66.1466411894,45.2956454134,-4.98629283905
391,-66.1465834804,45.2956264018,-4.95045280457
392,-66.1465257715,45.2956073902,-4.85728645325
393,-66.1464680625,45.2955883786,-4.81887531281
394,-66.1464103537,45.2955693669,-4.76074838638
395,-66.1463526448,45.2955503552,-4.79749679565
396,-66.146294936,45.2955313435,-4.71424770355
397,-66.1462372272,45.2955123318,-4.71741294861
398,-66.1461795185,45.29549332,-4.76884746552
399,-66.1461218098,45.2954743082,-4.80900001526
400,-66.1460641012,45.2954552964,-4.9390001297
401,-66.1460063926,45.2954362845,-5.20900011063
402,-66.145948684,45.2954172726,-5.4889998436
403,-66.1458909754,45.2953982607,-6.10900020599
404,-66.1458332669,45.2953792487,-6.90899991989
405,-66.1457755585,45.2953602368,-7.46899986267
406,-66.1457178501,45.2953412248,-7.78900003433
407,-66.1456601417,45.2953222127,-8.55500030518
408,-66.1456024334,45.2953032007,-9.03527450562
409,-66.1455447251,45.2952841886,-9.49118614197
410,-66.1454870168,45.2952651764,-9.36895942688
411,-66.1454293086,45.2952461643,-8.4359998703
412,-66.1453716004,45.2952271521,-7.56599998474
413,-66.1453138922,45.2952081399,-6.66429138184
414,-66.1452561841,45.2951891276,-5.83599996567
415,-66.1451984761,45.2951701154,-5.34645462036
416,-66.145140768,45.295151103,-4.99599981308
417,-66.1450830601,45.2951320907,-4.86703586578
418,-66.1450253521,45.2951130784,-4.80827903748
419,-66.1449676442,45.295094066,-4.69499588013
420,-66.1449099363,45.2950750535,-4.59492540359
421,-66.1448522285,45.2950560411,-4.53959751129
422,-66.1447945207,45.2950370286,-4.49599981308
423,-66.1447368129,45.2950180161,-4.4359998703
424,-66.1446791052,45.2949990036,-4.39848041534
425,-66.1446213976,45.294979991,-4.34600019455
426,-66.1445636899,45.2949609784,-4.32600021362
427,-66.1445059823,45.2949419658,-4.42600011826
428,-66.1444482748,45.2949229531,-4.37599992752
429,-66.1443905672,45.2949039404,-4.257999897
430,-66.1443328598,45.2948849277,-4.30800008774
431,-66.1442751523,45.294865915,-4.35108184814
432,-66.1442174449,45.2948469022,-4.37010288239
433,-66.1441597376,45.2948278894,-4.3897151947
434,-66.1441020302,45.2948088766,-4.44504261017
435,-66.1440443229,45.2947898637,-4.474152565
436,-66.1439866157,45.2947708508,-4.53462028503
437,-66.1439289085,45.2947518379,-4.59800004959
438,-66.1438712013,45.2947328249,-4.70800018311
439,-66.1438134942,45.294713812,-4.85799980164
440,-66.1437557871,45.294694799,-4.91361665726
